source	target	synapse
3416	1224	5
3416	1224	11
3416	1224	13
3416	1224	5
3416	1224	4
3416	1224	10
3416	1224	4
3416	1224	7
3416	1224	13
3416	1224	11
3260	1224	5
3260	1224	13
3260	1224	3
3260	1224	11
3260	1224	1
3260	1224	4
3260	1224	10
3260	1224	4
3260	1224	2
3260	1224	11
3286	1224	1
3286	1224	12
3286	1224	6
3286	1224	3
3286	1224	0
3286	1224	13
3286	1224	12
3286	1224	11
3286	1224	13
3286	1224	5
3283	1224	4
3283	1224	13
3283	1224	9
3283	1224	8
3283	1224	8
3283	1224	8
3283	1224	9
3283	1224	13
3283	1224	0
3283	1224	9
3413	1224	14
3413	1224	9
3413	1224	13
3413	1224	8
3413	1224	1
3413	1224	2
3413	1224	1
3413	1224	1
3413	1224	3
3413	1224	1
3265	1224	0
3265	1224	7
3265	1224	7
3265	1224	6
3265	1224	0
3265	1224	11
3265	1224	10
3265	1224	13
3265	1224	9
3265	1224	0
3309	1224	1
3309	1224	10
3309	1224	1
3309	1224	4
3309	1224	12
3309	1224	2
3309	1224	5
3309	1224	6
3309	1224	11
3309	1224	10
3347	1224	5
3347	1224	3
3347	1224	14
3347	1224	2
3347	1224	7
3347	1224	5
3347	1224	7
3347	1224	14
3347	1224	12
3347	1224	11
3353	1224	8
3353	1224	9
3353	1224	4
3353	1224	10
3353	1224	13
3353	1224	2
3353	1224	10
3353	1224	2
3353	1224	12
3353	1224	6
3331	1224	8
3331	1224	8
3331	1224	12
3331	1224	5
3331	1224	12
3331	1224	7
3331	1224	5
3331	1224	8
3331	1224	0
3331	1224	3
3301	1224	5
3301	1224	9
3301	1224	11
3301	1224	12
3301	1224	10
3301	1224	5
3301	1224	9
3301	1224	0
3301	1224	1
3301	1224	7
3368	1224	8
3368	1224	3
3368	1224	14
3368	1224	1
3368	1224	4
3368	1224	13
3368	1224	9
3368	1224	9
3368	1224	12
3368	1224	12
3307	1224	8
3307	1224	11
3307	1224	14
3307	1224	5
3307	1224	8
3307	1224	1
3307	1224	8
3307	1224	3
3307	1224	13
3307	1224	6
3237	1224	11
3237	1224	9
3237	1224	2
3237	1224	1
3237	1224	12
3237	1224	5
3237	1224	2
3237	1224	6
3237	1224	10
3237	1224	3
3129	1224	3
3129	1224	1
3129	1224	6
3129	1224	6
3129	1224	5
3129	1224	2
3129	1224	9
3129	1224	1
3129	1224	5
3129	1224	9
3215	1224	0
3215	1224	4
3215	1224	9
3215	1224	1
3215	1224	8
3215	1224	13
3215	1224	7
3215	1224	1
3215	1224	4
3215	1224	13
6604	1224	17
6604	1224	17
6604	1224	15
6604	1224	17
6604	1224	16
6604	1224	15
6604	1224	16
6604	1224	17
6760	1224	15
6760	1224	17
6760	1224	15
6760	1224	18
6760	1224	16
6760	1224	18
6760	1224	15
6760	1224	18
6625	1224	16
