t	v
0	-65.0112
0.025	-65.0112
0.05	-65.0112
0.075	-65.0112
0.1	-65.0112
0.125	-65.0112
0.15	-65.0112
0.175	-65.0112
0.2	-65.0112
0.225	-65.0112
0.25	-65.0112
0.275	-65.0112
0.3	-65.0112
0.325	-65.0112
0.35	-65.0112
0.375	-65.0112
0.4	-65.0112
0.425	-65.0112
0.45	-65.0112
0.475	-65.0113
0.5	-65.0113
0.525	-65.0113
0.55	-65.0113
0.575	-65.0113
0.6	-65.0113
0.625	-65.0113
0.65	-65.0113
0.675	-65.0113
0.7	-65.0113
0.725	-65.0113
0.75	-65.0113
0.775	-65.0113
0.8	-65.0113
0.825	-65.0113
0.85	-65.0113
0.875	-65.0113
0.9	-65.0113
0.925	-65.0113
0.95	-65.0113
0.975	-65.0113
1	-65.0113
1.025	-65.0113
1.05	-65.0114
1.075	-65.0114
1.1	-65.0114
1.125	-65.0114
1.15	-65.0114
1.175	-65.0114
1.2	-65.0114
1.225	-65.0114
1.25	-65.0114
1.275	-65.0114
1.3	-65.0114
1.325	-65.0114
1.35	-65.0114
1.375	-65.0114
1.4	-65.0114
1.425	-65.0114
1.45	-65.0114
1.475	-65.0114
1.5	-65.0114
1.525	-65.0114
1.55	-65.0114
1.575	-65.0114
1.6	-65.0114
1.625	-65.0114
1.65	-65.0115
1.675	-65.0115
1.7	-65.0115
1.725	-65.0115
1.75	-65.0115
1.775	-65.0115
1.8	-65.0115
1.825	-65.0115
1.85	-65.0115
1.875	-65.0115
1.9	-65.0115
1.925	-65.0115
1.95	-65.0115
1.975	-65.0115
2	-65.0115
2.025	-65.0115
2.05	-65.0115
2.075	-65.0115
2.1	-65.0115
2.125	-65.0115
2.15	-65.0115
2.175	-65.0115
2.2	-65.0115
2.225	-65.0115
2.25	-65.0115
2.275	-65.0115
2.3	-65.0116
2.325	-65.0116
2.35	-65.0116
2.375	-65.0116
2.4	-65.0116
2.425	-65.0116
2.45	-65.0116
2.475	-65.0116
2.5	-65.0116
2.525	-65.0116
2.55	-65.0116
2.575	-65.0116
2.6	-65.0116
2.625	-65.0116
2.65	-65.0116
2.675	-65.0116
2.7	-65.0116
2.725	-65.0116
2.75	-65.0116
2.775	-65.0116
2.8	-65.0116
2.825	-65.0116
2.85	-65.0116
2.875	-65.0116
2.9	-65.0116
2.925	-65.0116
2.95	-65.0116
2.975	-65.0116
3	-65.0117
3.025	-65.0117
3.05	-65.0117
3.075	-65.0117
3.1	-65.0117
3.125	-65.0117
3.15	-65.0117
3.175	-65.0117
3.2	-65.0117
3.225	-65.0117
3.25	-65.0117
3.275	-65.0117
3.3	-65.0117
3.325	-65.0117
3.35	-65.0117
3.375	-65.0117
3.4	-65.0117
3.425	-65.0117
3.45	-65.0117
3.475	-65.0117
3.5	-65.0117
3.525	-65.0117
3.55	-65.0117
3.575	-65.0116
3.6	-65.0114
3.625	-65.011
3.65	-65.0104
3.675	-65.0098
3.7	-65.009
3.725	-65.008
3.75	-65.007
3.775	-65.0058
3.8	-65.0045
3.825	-65.0031
3.85	-65.0016
3.875	-64.9999
3.9	-64.9982
3.925	-64.9964
3.95	-64.9945
3.975	-64.9925
4	-64.9904
4.025	-64.9882
4.05	-64.9859
4.075	-64.9834
4.1	-64.9809
4.125	-64.9782
4.15	-64.9754
4.175	-64.9726
4.2	-64.9696
4.225	-64.9665
4.25	-64.9632
4.275	-64.9599
4.3	-64.9565
4.325	-64.953
4.35	-64.9493
4.375	-64.9456
4.4	-64.9418
4.425	-64.9379
4.45	-64.9339
4.475	-64.9299
4.5	-64.9257
4.525	-64.9215
4.55	-64.9171
4.575	-64.9127
4.6	-64.9083
4.625	-64.9037
4.65	-64.8991
4.675	-64.8944
4.7	-64.8897
4.725	-64.8849
4.75	-64.88
4.775	-64.8751
4.8	-64.8701
4.825	-64.865
4.85	-64.8599
4.875	-64.8548
4.9	-64.8495
4.925	-64.8442
4.95	-64.8388
4.975	-64.8333
5	-64.8277
5.025	-64.8221
5.05	-64.8164
5.075	-64.8106
5.1	-64.8047
5.125	-64.7987
5.15	-64.7927
5.175	-64.7866
5.2	-64.7804
5.225	-64.7742
5.25	-64.7679
5.275	-64.7615
5.3	-64.7551
5.325	-64.7486
5.35	-64.742
5.375	-64.7354
5.4	-64.7286
5.425	-64.7218
5.45	-64.7148
5.475	-64.7078
5.5	-64.7007
5.525	-64.6935
5.55	-64.6862
5.575	-64.6788
5.6	-64.6713
5.625	-64.6637
5.65	-64.6561
5.675	-64.6483
5.7	-64.6405
5.725	-64.6326
5.75	-64.6246
5.775	-64.6166
5.8	-64.6085
5.825	-64.6003
5.85	-64.592
5.875	-64.5837
5.9	-64.5753
5.925	-64.5669
5.95	-64.5584
5.975	-64.5499
6	-64.5413
6.025	-64.5326
6.05	-64.5239
6.075	-64.5152
6.1	-64.5064
6.125	-64.4976
6.15	-64.4888
6.175	-64.4799
6.2	-64.4709
6.225	-64.462
6.25	-64.453
6.275	-64.444
6.3	-64.4349
6.325	-64.4259
6.35	-64.4168
6.375	-64.4076
6.4	-64.3985
6.425	-64.3894
6.45	-64.3802
6.475	-64.371
6.5	-64.3618
6.525	-64.3526
6.55	-64.3434
6.575	-64.3341
6.6	-64.3249
6.625	-64.3156
6.65	-64.3064
6.675	-64.2971
6.7	-64.2877
6.725	-64.2783
6.75	-64.2688
6.775	-64.2593
6.8	-64.2497
6.825	-64.2401
6.85	-64.2304
6.875	-64.2206
6.9	-64.2108
6.925	-64.2009
6.95	-64.191
6.975	-64.1811
7	-64.1711
7.025	-64.1611
7.05	-64.1511
7.075	-64.141
7.1	-64.1309
7.125	-64.1207
7.15	-64.1106
7.175	-64.1004
7.2	-64.0902
7.225	-64.0799
7.25	-64.0697
7.275	-64.0594
7.3	-64.0491
7.325	-64.0388
7.35	-64.0285
7.375	-64.0181
7.4	-64.0077
7.425	-63.9973
7.45	-63.9869
7.475	-63.9764
7.5	-63.966
7.525	-63.9555
7.55	-63.945
7.575	-63.9345
7.6	-63.9239
7.625	-63.9134
7.65	-63.9028
7.675	-63.8922
7.7	-63.8816
7.725	-63.871
7.75	-63.8604
7.775	-63.8498
7.8	-63.8391
7.825	-63.8285
7.85	-63.8178
7.875	-63.8072
7.9	-63.7966
7.925	-63.7859
7.95	-63.7753
7.975	-63.7646
8	-63.7538
8.025	-63.7431
8.05	-63.7323
8.075	-63.7214
8.1	-63.7104
8.125	-63.6995
8.15	-63.6885
8.175	-63.6774
8.2	-63.6663
8.225	-63.6551
8.25	-63.644
8.275	-63.6327
8.3	-63.6215
8.325	-63.6102
8.35	-63.5989
8.375	-63.5876
8.4	-63.5762
8.425	-63.5647
8.45	-63.5532
8.475	-63.5416
8.5	-63.5299
8.525	-63.5182
8.55	-63.5064
8.575	-63.4945
8.6	-63.4826
8.625	-63.4706
8.65	-63.4586
8.675	-63.4466
8.7	-63.4344
8.725	-63.4223
8.75	-63.4101
8.775	-63.3978
8.8	-63.3856
8.825	-63.3733
8.85	-63.3609
8.875	-63.3486
8.9	-63.3362
8.925	-63.3238
8.95	-63.3114
8.975	-63.2989
9	-63.2864
9.025	-63.2739
9.05	-63.2613
9.075	-63.2486
9.1	-63.2358
9.125	-63.223
9.15	-63.21
9.175	-63.1971
9.2	-63.1841
9.225	-63.171
9.25	-63.1578
9.275	-63.1446
9.3	-63.1314
9.325	-63.1181
9.35	-63.1048
9.375	-63.0914
9.4	-63.078
9.425	-63.0644
9.45	-63.0508
9.475	-63.0371
9.5	-63.0234
9.525	-63.0095
9.55	-62.9956
9.575	-62.9816
9.6	-62.9676
9.625	-62.9535
9.65	-62.9393
9.675	-62.9251
9.7	-62.9108
9.725	-62.8965
9.75	-62.8821
9.775	-62.8677
9.8	-62.8532
9.825	-62.8387
9.85	-62.8241
9.875	-62.8095
9.9	-62.7949
9.925	-62.7802
9.95	-62.7655
9.975	-62.7508
10	-62.736
10.025	-62.7211
10.05	-62.7062
10.075	-62.6913
10.1	-62.6763
10.125	-62.6613
10.15	-62.6462
10.175	-62.6311
10.2	-62.6159
10.225	-62.6007
10.25	-62.5854
10.275	-62.5702
10.3	-62.5548
10.325	-62.5395
10.35	-62.5241
10.375	-62.5087
10.4	-62.4931
10.425	-62.4775
10.45	-62.4618
10.475	-62.446
10.5	-62.4301
10.525	-62.4141
10.55	-62.3981
10.575	-62.382
10.6	-62.3658
10.625	-62.3496
10.65	-62.3332
10.675	-62.3168
10.7	-62.3003
10.725	-62.2837
10.75	-62.2669
10.775	-62.2501
10.8	-62.2331
10.825	-62.2161
10.85	-62.1989
10.875	-62.1817
10.9	-62.1644
10.925	-62.147
10.95	-62.1296
10.975	-62.1121
11	-62.0945
11.025	-62.0769
11.05	-62.0592
11.075	-62.0414
11.1	-62.0237
11.125	-62.0058
11.15	-61.988
11.175	-61.9701
11.2	-61.9522
11.225	-61.9343
11.25	-61.9163
