t	v
0	-66.9688
0.025	-66.9689
0.05	-66.969
0.075	-66.9691
0.1	-66.9691
0.125	-66.9692
0.15	-66.9693
0.175	-66.9694
0.2	-66.9695
0.225	-66.9695
0.25	-66.9696
0.275	-66.9697
0.3	-66.9698
0.325	-66.9699
0.35	-66.9699
0.375	-66.97
0.4	-66.9701
0.425	-66.9702
0.45	-66.9702
0.475	-66.9703
0.5	-66.9704
0.525	-66.9705
0.55	-66.9706
0.575	-66.9706
0.6	-66.9707
0.625	-66.9708
0.65	-66.9709
0.675	-66.9709
0.7	-66.971
0.725	-66.9711
0.75	-66.9712
0.775	-66.9712
0.8	-66.9713
0.825	-66.9714
0.85	-66.9715
0.875	-66.9715
0.9	-66.9716
0.925	-66.9717
0.95	-66.9718
0.975	-66.9718
1	-66.9719
1.025	-66.972
1.05	-66.9721
1.075	-66.9721
1.1	-66.9722
1.125	-66.9723
1.15	-66.9724
1.175	-66.9724
1.2	-66.9725
1.225	-66.9726
1.25	-66.9727
1.275	-66.9727
1.3	-66.9728
1.325	-66.9729
1.35	-66.9729
1.375	-66.973
1.4	-66.9731
1.425	-66.9732
1.45	-66.9732
1.475	-66.9733
1.5	-66.9734
1.525	-66.9735
1.55	-66.9735
1.575	-66.9736
1.6	-66.9737
1.625	-66.9737
1.65	-66.9738
1.675	-66.9739
1.7	-66.974
1.725	-66.974
1.75	-66.9741
1.775	-66.9742
1.8	-66.9742
1.825	-66.9743
1.85	-66.9744
1.875	-66.9745
1.9	-66.9745
1.925	-66.9746
1.95	-66.9747
1.975	-66.9747
2	-66.9748
2.025	-66.9749
2.05	-66.9749
2.075	-66.975
2.1	-66.9751
2.125	-66.9752
2.15	-66.9752
2.175	-66.9753
2.2	-66.9754
2.225	-66.9754
2.25	-66.9755
2.275	-66.9756
2.3	-66.9756
2.325	-66.9757
2.35	-66.9758
2.375	-66.9758
2.4	-66.9759
2.425	-66.976
2.45	-66.9761
2.475	-66.9761
2.5	-66.9762
2.525	-66.9763
2.55	-66.9763
2.575	-66.9764
2.6	-66.9765
2.625	-66.9765
2.65	-66.9766
2.675	-66.9767
2.7	-66.9767
2.725	-66.9768
2.75	-66.9769
2.775	-66.9769
2.8	-66.977
2.825	-66.9771
2.85	-66.9771
2.875	-66.9772
2.9	-66.9773
2.925	-66.9773
2.95	-66.9774
2.975	-66.9775
3	-66.9775
3.025	-66.9776
3.05	-66.9777
3.075	-66.9777
3.1	-66.9778
3.125	-66.9779
3.15	-66.9779
3.175	-66.9779
3.2	-66.9778
3.225	-66.9776
3.25	-66.9771
3.275	-66.9763
3.3	-66.9753
3.325	-66.974
3.35	-66.9725
3.375	-66.9707
3.4	-66.9686
3.425	-66.9662
3.45	-66.9636
3.475	-66.9608
3.5	-66.9576
3.525	-66.9543
3.55	-66.9507
3.575	-66.9468
3.6	-66.9427
3.625	-66.9384
3.65	-66.9339
3.675	-66.9291
3.7	-66.9242
3.725	-66.919
3.75	-66.9136
3.775	-66.908
3.8	-66.9023
3.825	-66.8963
3.85	-66.8902
3.875	-66.8838
3.9	-66.8773
3.925	-66.8706
3.95	-66.8636
3.975	-66.8564
4	-66.8489
4.025	-66.8412
4.05	-66.8333
4.075	-66.8251
4.1	-66.8167
4.125	-66.8081
4.15	-66.7992
4.175	-66.7902
4.2	-66.7809
4.225	-66.7715
4.25	-66.7618
4.275	-66.752
4.3	-66.7419
4.325	-66.7317
4.35	-66.7213
4.375	-66.7107
4.4	-66.6999
4.425	-66.689
4.45	-66.6779
4.475	-66.6666
4.5	-66.6552
4.525	-66.6437
4.55	-66.632
4.575	-66.6201
4.6	-66.608
4.625	-66.5956
4.65	-66.583
4.675	-66.5701
4.7	-66.5569
4.725	-66.5434
4.75	-66.5295
4.775	-66.5154
4.8	-66.501
4.825	-66.4862
4.85	-66.4712
4.875	-66.456
4.9	-66.4404
4.925	-66.4246
4.95	-66.4086
4.975	-66.3923
5	-66.3759
5.025	-66.3591
5.05	-66.3422
5.075	-66.325
5.1	-66.3075
5.125	-66.2899
5.15	-66.2719
5.175	-66.2538
5.2	-66.2353
5.225	-66.2167
5.25	-66.1978
5.275	-66.1787
5.3	-66.1594
5.325	-66.1398
5.35	-66.12
5.375	-66.1
5.4	-66.0798
5.425	-66.0594
5.45	-66.0388
5.475	-66.018
5.5	-65.997
5.525	-65.9759
5.55	-65.9545
5.575	-65.9329
5.6	-65.9112
5.625	-65.8893
5.65	-65.8673
5.675	-65.8451
5.7	-65.8227
5.725	-65.8002
5.75	-65.7776
5.775	-65.7548
5.8	-65.7318
5.825	-65.7088
5.85	-65.6856
5.875	-65.6622
5.9	-65.6387
5.925	-65.615
5.95	-65.591
5.975	-65.5667
6	-65.5423
6.025	-65.5176
6.05	-65.4928
6.075	-65.4677
6.1	-65.4425
6.125	-65.4171
6.15	-65.3916
6.175	-65.3659
6.2	-65.3401
6.225	-65.3141
6.25	-65.288
6.275	-65.2618
6.3	-65.2355
6.325	-65.209
6.35	-65.1825
6.375	-65.1558
6.4	-65.1289
6.425	-65.1019
6.45	-65.0748
6.475	-65.0474
6.5	-65.0199
6.525	-64.9922
6.55	-64.9643
6.575	-64.9363
6.6	-64.9081
6.625	-64.8797
6.65	-64.8512
6.675	-64.8225
6.7	-64.7937
6.725	-64.7648
6.75	-64.7357
6.775	-64.7065
6.8	-64.6771
6.825	-64.6477
6.85	-64.6181
6.875	-64.5884
6.9	-64.5587
6.925	-64.5288
6.95	-64.4989
6.975	-64.4688
7	-64.4387
7.025	-64.4085
7.05	-64.3782
7.075	-64.3479
7.1	-64.3175
7.125	-64.2871
7.15	-64.2565
7.175	-64.2259
7.2	-64.1952
7.225	-64.1644
7.25	-64.1335
7.275	-64.1025
7.3	-64.0715
7.325	-64.0403
7.35	-64.0091
7.375	-63.9779
7.4	-63.9465
