source	target	synapse
3127	3175	9
3127	3175	6
3127	3175	3
3127	3175	8
3127	3175	10
3127	3175	2
3127	3175	4
3127	3175	3
3127	3175	8
3127	3175	13
3131	3175	10
3131	3175	3
3131	3175	10
3131	3175	6
3131	3175	7
3131	3175	11
3131	3175	7
3131	3175	0
3131	3175	2
3131	3175	10
3087	3175	3
3087	3175	9
3087	3175	1
3087	3175	2
3087	3175	9
3087	3175	9
3087	3175	0
3087	3175	0
3087	3175	5
3087	3175	14
3106	3175	14
3106	3175	14
3106	3175	3
3106	3175	5
3106	3175	11
3106	3175	12
3106	3175	13
3106	3175	9
3106	3175	12
3106	3175	12
3149	3175	6
3149	3175	9
3149	3175	3
3149	3175	10
3149	3175	10
3149	3175	5
3149	3175	9
3149	3175	12
3149	3175	11
3149	3175	6
3242	3175	6
3242	3175	11
3242	3175	14
3242	3175	3
3242	3175	2
3242	3175	14
3242	3175	7
3242	3175	7
3242	3175	14
3242	3175	1
3133	3175	2
3133	3175	2
3133	3175	3
3133	3175	4
3133	3175	5
3133	3175	14
3133	3175	6
3133	3175	2
3133	3175	7
3133	3175	14
3128	3175	2
3128	3175	4
3128	3175	4
3128	3175	7
3128	3175	0
3128	3175	1
3128	3175	12
3128	3175	5
3128	3175	0
3128	3175	2
3175	3175	11
3175	3175	7
3175	3175	1
3175	3175	11
3175	3175	14
3175	3175	10
3175	3175	7
3175	3175	0
3175	3175	4
3175	3175	1
3112	3175	1
3112	3175	1
3112	3175	13
3112	3175	9
3112	3175	6
3112	3175	12
3112	3175	8
3112	3175	13
3112	3175	5
3112	3175	12
3193	3175	11
3193	3175	2
3193	3175	10
3193	3175	14
3193	3175	12
3193	3175	11
3193	3175	7
3193	3175	14
3193	3175	4
3193	3175	3
3238	3175	7
3238	3175	10
3238	3175	4
3238	3175	12
3238	3175	8
3238	3175	5
3238	3175	9
3238	3175	13
3238	3175	11
3238	3175	10
3216	3175	4
3216	3175	13
3216	3175	2
3216	3175	12
3216	3175	1
3216	3175	5
3216	3175	5
3216	3175	9
3216	3175	0
3216	3175	5
3110	3175	6
3110	3175	12
3110	3175	14
3110	3175	5
3110	3175	12
3110	3175	2
3110	3175	9
3110	3175	13
3110	3175	11
3110	3175	14
3248	3175	8
3248	3175	6
3248	3175	13
3248	3175	10
3248	3175	12
3248	3175	5
3248	3175	8
3248	3175	7
3248	3175	2
3248	3175	6
3146	3175	2
3146	3175	1
3146	3175	12
3146	3175	1
3146	3175	6
3146	3175	10
3146	3175	9
3146	3175	8
3146	3175	7
3146	3175	1
6606	3175	18
6606	3175	18
6606	3175	18
6606	3175	17
6606	3175	16
6606	3175	18
6606	3175	15
6606	3175	16
6447	3175	15
6447	3175	17
6447	3175	15
6447	3175	17
6447	3175	16
6447	3175	16
6447	3175	15
6447	3175	18
6633	3175	18
6633	3175	15
6633	3175	16
6633	3175	18
6633	3175	15
6633	3175	15
6633	3175	18
6633	3175	18
6346	3175	15
6346	3175	17
6346	3175	18
6346	3175	17
6346	3175	16
6346	3175	15
6346	3175	17
6346	3175	17
6555	3175	15
6555	3175	17
6555	3175	17
6555	3175	16
6555	3175	16
6555	3175	17
6555	3175	17
6555	3175	16
6421	3175	18
6421	3175	16
6421	3175	17
6421	3175	16
6421	3175	15
6421	3175	17
6421	3175	18
6421	3175	15
6347	3175	15
6347	3175	17
6347	3175	18
6347	3175	16
6347	3175	15
6347	3175	17
6347	3175	15
6347	3175	18
6344	3175	17
6344	3175	15
6344	3175	18
6344	3175	15
6344	3175	18
6344	3175	18
6344	3175	17
6344	3175	15
6657	3175	15
6657	3175	15
6657	3175	17
6657	3175	15
6657	3175	18
6657	3175	16
6657	3175	16
6657	3175	17
6342	3175	17
6342	3175	15
6342	3175	16
6342	3175	15
6342	3175	15
6342	3175	18
6342	3175	15
6342	3175	16
6547	3175	18
6547	3175	15
6547	3175	15
6547	3175	18
6547	3175	15
6547	3175	17
6547	3175	15
6547	3175	15
6296	3175	17
6296	3175	15
6296	3175	17
6296	3175	16
6296	3175	18
6296	3175	15
6296	3175	18
6296	3175	15
14226	3175	28
14226	3175	20
14226	3175	22
14226	3175	22
14226	3175	19
14226	3175	27
14226	3175	32
14226	3175	22
14226	3175	28
14226	3175	33
14685	3175	26
14685	3175	29
14685	3175	22
14685	3175	30
14685	3175	33
14685	3175	30
14685	3175	29
14685	3175	32
14685	3175	22
14685	3175	20
13916	3175	29
13916	3175	19
13916	3175	23
13916	3175	21
13916	3175	24
13916	3175	30
13916	3175	29
13916	3175	23
13916	3175	30
13916	3175	27
14648	3175	23
14648	3175	31
14648	3175	21
14648	3175	19
14648	3175	27
14648	3175	27
14648	3175	28
14648	3175	25
14648	3175	29
14648	3175	29
14019	3175	23
14019	3175	33
14019	3175	21
14019	3175	20
14019	3175	33
14019	3175	26
14019	3175	30
14019	3175	28
14019	3175	20
14019	3175	24
14616	3175	30
14616	3175	32
14616	3175	28
14616	3175	19
14616	3175	31
14616	3175	32
14616	3175	19
14616	3175	25
14616	3175	26
14616	3175	25
14364	3175	26
14364	3175	33
14364	3175	27
14364	3175	24
14364	3175	25
14364	3175	33
14364	3175	25
14364	3175	29
14364	3175	27
14364	3175	29
14190	3175	27
14190	3175	28
14190	3175	30
14190	3175	23
14190	3175	20
14190	3175	20
14190	3175	26
14190	3175	30
14190	3175	26
14190	3175	33
14338	3175	28
14338	3175	30
14338	3175	31
14338	3175	27
14338	3175	23
14338	3175	31
14338	3175	25
14338	3175	28
14338	3175	33
14338	3175	29
14089	3175	23
14089	3175	25
14089	3175	23
14089	3175	21
14089	3175	31
14089	3175	23
14089	3175	30
14089	3175	24
14089	3175	26
14089	3175	21
14399	3175	25
14399	3175	27
14399	3175	30
14399	3175	20
14399	3175	24
14399	3175	31
14399	3175	21
14399	3175	30
14399	3175	20
14399	3175	23
14548	3175	29
14548	3175	24
14548	3175	20
14548	3175	28
14548	3175	32
14548	3175	33
14548	3175	26
14548	3175	21
14548	3175	27
14548	3175	19
14581	3175	25
14581	3175	30
14581	3175	21
14581	3175	33
14581	3175	24
14581	3175	21
14581	3175	25
14581	3175	25
14581	3175	20
14581	3175	29
14441	3175	30
14441	3175	20
14441	3175	27
14441	3175	31
14441	3175	20
14441	3175	24
14441	3175	19
14441	3175	21
14441	3175	20
14441	3175	21
14575	3175	26
14575	3175	32
14575	3175	24
14575	3175	24
14575	3175	31
14575	3175	33
14575	3175	32
14575	3175	22
14575	3175	22
14575	3175	20
14297	3175	26
14297	3175	28
14297	3175	19
14297	3175	27
14297	3175	26
14297	3175	19
14297	3175	33
14297	3175	33
14297	3175	24
14297	3175	24
14505	3175	19
14505	3175	28
14505	3175	33
14505	3175	24
14505	3175	20
14505	3175	22
14505	3175	33
14505	3175	20
14505	3175	31
14505	3175	30
14468	3175	22
14468	3175	22
14468	3175	21
14468	3175	22
14468	3175	19
14468	3175	33
14468	3175	21
14468	3175	25
14468	3175	21
14468	3175	24
14020	3175	22
14020	3175	19
14020	3175	22
14020	3175	30
14020	3175	29
14020	3175	20
14020	3175	32
14020	3175	32
14020	3175	20
14020	3175	25
14362	3175	30
14362	3175	24
14362	3175	31
14362	3175	19
14362	3175	24
14362	3175	32
14362	3175	19
14362	3175	30
14362	3175	28
14362	3175	23
14435	3175	25
14435	3175	32
14435	3175	27
14435	3175	25
14435	3175	19
14435	3175	32
14435	3175	22
14435	3175	32
14435	3175	31
14435	3175	28
13906	3175	19
13906	3175	21
13906	3175	23
13906	3175	22
13906	3175	32
13906	3175	22
13906	3175	22
13906	3175	31
13906	3175	19
13906	3175	27
14284	3175	27
14284	3175	21
14284	3175	21
14284	3175	25
14284	3175	19
14284	3175	30
14284	3175	22
14284	3175	19
14284	3175	25
14284	3175	31
13596	3175	30
13596	3175	23
13596	3175	23
13596	3175	19
13596	3175	33
13596	3175	21
13596	3175	27
13596	3175	32
13596	3175	23
13596	3175	22
20942	3175	65
20942	3175	59
20942	3175	67
20942	3175	60
20942	3175	58
20942	3175	69
20942	3175	57
20942	3175	60
20942	3175	64
20942	3175	62
20988	3175	70
20988	3175	54
20988	3175	62
20988	3175	59
20988	3175	71
20988	3175	54
20988	3175	55
20988	3175	61
20988	3175	58
20988	3175	67
20991	3175	55
20991	3175	59
20991	3175	67
20991	3175	61
20991	3175	65
20991	3175	61
20991	3175	72
20991	3175	66
20991	3175	60
20991	3175	72
20976	3175	66
20976	3175	66
20976	3175	57
20976	3175	66
20976	3175	61
20976	3175	64
20976	3175	67
20976	3175	73
20976	3175	73
20976	3175	72
21007	3175	73
21007	3175	65
21007	3175	59
