source	target	synapse
2681	335846	4
2681	335846	11
2681	335846	12
2681	335846	9
2681	335846	5
2681	335846	12
2681	335846	9
2681	335846	1
2681	335846	2
2681	335846	1
2751	335846	0
2751	335846	13
2751	335846	7
2751	335846	11
2751	335846	7
2751	335846	6
2751	335846	14
2751	335846	8
2751	335846	4
2751	335846	12
2639	335846	10
2639	335846	0
2639	335846	0
2639	335846	4
2639	335846	6
2639	335846	8
2639	335846	10
2639	335846	9
2639	335846	14
2639	335846	14
2704	335846	13
2704	335846	8
2704	335846	2
2704	335846	8
2704	335846	10
2704	335846	11
2704	335846	2
2704	335846	4
2704	335846	12
2704	335846	6
2726	335846	0
2726	335846	4
2726	335846	10
2726	335846	13
2726	335846	2
2726	335846	10
2726	335846	7
2726	335846	14
2726	335846	7
2726	335846	12
2615	335846	14
2615	335846	0
2615	335846	3
2615	335846	1
2615	335846	12
2615	335846	14
2615	335846	6
2615	335846	4
2615	335846	6
2615	335846	10
2576	335846	4
2576	335846	13
2576	335846	14
2576	335846	6
2576	335846	3
2576	335846	4
2576	335846	10
2576	335846	6
2576	335846	5
2576	335846	9
2730	335846	3
2730	335846	6
2730	335846	1
2730	335846	14
2730	335846	8
2730	335846	14
2730	335846	6
2730	335846	7
2730	335846	1
2730	335846	8
2707	335846	12
2707	335846	3
2707	335846	12
2707	335846	12
2707	335846	12
2707	335846	10
2707	335846	5
2707	335846	13
2707	335846	4
2707	335846	14
2593	335846	7
2593	335846	14
2593	335846	10
2593	335846	11
2593	335846	13
2593	335846	4
2593	335846	12
2593	335846	6
2593	335846	11
2593	335846	3
2749	335846	7
2749	335846	2
2749	335846	3
2749	335846	12
2749	335846	4
2749	335846	5
2749	335846	5
2749	335846	13
2749	335846	12
2749	335846	0
2686	335846	4
2686	335846	11
2686	335846	13
2686	335846	1
2686	335846	14
2686	335846	5
2686	335846	11
2686	335846	8
2686	335846	7
2686	335846	5
2728	335846	9
2728	335846	10
2728	335846	9
2728	335846	13
2728	335846	10
2728	335846	9
2728	335846	12
2728	335846	6
2728	335846	13
2728	335846	2
2662	335846	5
2662	335846	6
2662	335846	6
2662	335846	14
2662	335846	10
2662	335846	6
2662	335846	14
2662	335846	14
2662	335846	12
2662	335846	0
2508	335846	5
2508	335846	8
2508	335846	3
2508	335846	14
2508	335846	1
2508	335846	7
2508	335846	3
2508	335846	0
2508	335846	11
2508	335846	1
2862	335846	13
2862	335846	12
2862	335846	0
2862	335846	5
2862	335846	1
2862	335846	4
2862	335846	13
2862	335846	5
2862	335846	12
2862	335846	13
5736	335846	18
5736	335846	16
5736	335846	16
5736	335846	17
5736	335846	16
5736	335846	15
5736	335846	18
5736	335846	15
5610	335846	17
5610	335846	15
5610	335846	15
5610	335846	16
5610	335846	16
5610	335846	18
5610	335846	16
5610	335846	16
5607	335846	15
5607	335846	17
5607	335846	15
5607	335846	15
5607	335846	16
5607	335846	18
5607	335846	15
5607	335846	17
5582	335846	16
