t	v	myi_ch_HCNp	myi_ch_Kdrp	myi_ch_KvAproxp	myi_ch_Navp
0	-63.0101	-0.00105064	1.46936e-05	0.000140785	-2.56771e-07
0.025	-63.0099	-0.00105064	1.46936e-05	0.000140785	-2.56771e-07
0.05	-63.0098	-0.00105064	1.46937e-05	0.000140786	-2.56774e-07
0.075	-63.0097	-0.00105064	1.46938e-05	0.000140787	-2.5678e-07
0.1	-63.0096	-0.00105065	1.46939e-05	0.000140788	-2.56787e-07
0.125	-63.0095	-0.00105065	1.46939e-05	0.00014079	-2.56796e-07
0.15	-63.0094	-0.00105066	1.4694e-05	0.000140791	-2.56805e-07
0.175	-63.0093	-0.00105066	1.46941e-05	0.000140792	-2.56815e-07
0.2	-63.0092	-0.00105067	1.46942e-05	0.000140794	-2.56826e-07
0.225	-63.0091	-0.00105067	1.46943e-05	0.000140795	-2.56836e-07
0.25	-63.009	-0.00105068	1.46944e-05	0.000140797	-2.56846e-07
0.275	-63.0089	-0.00105068	1.46945e-05	0.000140799	-2.56857e-07
0.3	-63.0088	-0.00105069	1.46946e-05	0.0001408	-2.56868e-07
0.325	-63.0087	-0.0010507	1.46947e-05	0.000140802	-2.56878e-07
0.35	-63.0086	-0.0010507	1.46948e-05	0.000140804	-2.56889e-07
0.375	-63.0085	-0.00105071	1.46949e-05	0.000140805	-2.56899e-07
0.4	-63.0084	-0.00105071	1.4695e-05	0.000140807	-2.56909e-07
0.425	-63.0083	-0.00105072	1.46951e-05	0.000140809	-2.5692e-07
0.45	-63.0082	-0.00105072	1.46952e-05	0.00014081	-2.5693e-07
0.475	-63.0081	-0.00105073	1.46953e-05	0.000140812	-2.5694e-07
0.5	-63.008	-0.00105073	1.46954e-05	0.000140814	-2.5695e-07
0.525	-63.0079	-0.00105074	1.46955e-05	0.000140815	-2.5696e-07
0.55	-63.0078	-0.00105074	1.46955e-05	0.000140817	-2.5697e-07
0.575	-63.0077	-0.00105075	1.46956e-05	0.000140819	-2.5698e-07
0.6	-63.0076	-0.00105075	1.46957e-05	0.00014082	-2.56989e-07
0.625	-63.0075	-0.00105076	1.46958e-05	0.000140822	-2.56999e-07
0.65	-63.0074	-0.00105076	1.46959e-05	0.000140824	-2.57009e-07
0.675	-63.0073	-0.00105077	1.4696e-05	0.000140825	-2.57018e-07
0.7	-63.0073	-0.00105077	1.46961e-05	0.000140827	-2.57028e-07
0.725	-63.0072	-0.00105078	1.46962e-05	0.000140828	-2.57037e-07
0.75	-63.0071	-0.00105078	1.46963e-05	0.00014083	-2.57047e-07
0.775	-63.007	-0.00105079	1.46964e-05	0.000140831	-2.57056e-07
0.8	-63.0069	-0.00105079	1.46965e-05	0.000140833	-2.57065e-07
0.825	-63.0068	-0.0010508	1.46966e-05	0.000140835	-2.57075e-07
0.85	-63.0067	-0.00105081	1.46967e-05	0.000140836	-2.57084e-07
0.875	-63.0066	-0.00105081	1.46968e-05	0.000140838	-2.57093e-07
0.9	-63.0066	-0.00105082	1.46969e-05	0.000140839	-2.57102e-07
0.925	-63.0065	-0.00105082	1.4697e-05	0.000140841	-2.57111e-07
0.95	-63.0064	-0.00105083	1.46972e-05	0.000140842	-2.5712e-07
0.975	-63.0063	-0.00105083	1.46973e-05	0.000140844	-2.57129e-07
1	-63.0062	-0.00105084	1.46974e-05	0.000140845	-2.57138e-07
1.025	-63.0061	-0.00105084	1.46975e-05	0.000140847	-2.57147e-07
1.05	-63.0061	-0.00105085	1.46976e-05	0.000140848	-2.57156e-07
1.075	-63.006	-0.00105085	1.46977e-05	0.00014085	-2.57165e-07
1.1	-63.0059	-0.00105086	1.46978e-05	0.000140851	-2.57174e-07
1.125	-63.0058	-0.00105086	1.46979e-05	0.000140852	-2.57183e-07
1.15	-63.0057	-0.00105087	1.4698e-05	0.000140854	-2.57192e-07
1.175	-63.0056	-0.00105087	1.46981e-05	0.000140855	-2.572e-07
1.2	-63.0056	-0.00105088	1.46982e-05	0.000140857	-2.57209e-07
1.225	-63.0055	-0.00105088	1.46983e-05	0.000140858	-2.57218e-07
1.25	-63.0054	-0.00105089	1.46984e-05	0.000140859	-2.57227e-07
1.275	-63.0053	-0.00105089	1.46985e-05	0.000140861	-2.57235e-07
1.3	-63.0052	-0.0010509	1.46986e-05	0.000140862	-2.57244e-07
1.325	-63.0051	-0.0010509	1.46987e-05	0.000140864	-2.57252e-07
1.35	-63.0051	-0.00105091	1.46989e-05	0.000140865	-2.57261e-07
1.375	-63.005	-0.00105091	1.4699e-05	0.000140866	-2.5727e-07
1.4	-63.0049	-0.00105092	1.46991e-05	0.000140868	-2.57278e-07
1.425	-63.0048	-0.00105092	1.46992e-05	0.000140869	-2.57287e-07
1.45	-63.0047	-0.00105093	1.46993e-05	0.00014087	-2.57295e-07
1.475	-63.0047	-0.00105093	1.46994e-05	0.000140872	-2.57304e-07
1.5	-63.0046	-0.00105094	1.46995e-05	0.000140873	-2.57312e-07
1.525	-63.0045	-0.00105094	1.46996e-05	0.000140874	-2.5732e-07
1.55	-63.0044	-0.00105095	1.46997e-05	0.000140876	-2.57329e-07
1.575	-63.0043	-0.00105095	1.46998e-05	0.000140877	-2.57337e-07
1.6	-63.0043	-0.00105096	1.47e-05	0.000140878	-2.57345e-07
1.625	-63.0042	-0.00105096	1.47001e-05	0.000140879	-2.57354e-07
1.65	-63.0041	-0.00105097	1.47002e-05	0.000140881	-2.57362e-07
1.675	-63.004	-0.00105097	1.47003e-05	0.000140882	-2.5737e-07
1.7	-63.004	-0.00105098	1.47004e-05	0.000140883	-2.57379e-07
1.725	-63.0039	-0.00105098	1.47005e-05	0.000140885	-2.57387e-07
1.75	-63.0038	-0.00105099	1.47006e-05	0.000140886	-2.57395e-07
1.775	-63.0037	-0.00105099	1.47008e-05	0.000140887	-2.57403e-07
1.8	-63.0036	-0.001051	1.47009e-05	0.000140888	-2.57411e-07
1.825	-63.0036	-0.001051	1.4701e-05	0.00014089	-2.5742e-07
1.85	-63.0035	-0.00105101	1.47011e-05	0.000140891	-2.57428e-07
1.875	-63.0034	-0.00105101	1.47012e-05	0.000140892	-2.57436e-07
1.9	-63.0033	-0.00105102	1.47013e-05	0.000140893	-2.57444e-07
1.925	-63.0033	-0.00105102	1.47014e-05	0.000140894	-2.57452e-07
1.95	-63.0032	-0.00105103	1.47016e-05	0.000140896	-2.5746e-07
1.975	-63.0031	-0.00105103	1.47017e-05	0.000140897	-2.57468e-07
2	-63.003	-0.00105104	1.47018e-05	0.000140898	-2.57476e-07
2.025	-63.0029	-0.00105104	1.47019e-05	0.000140899	-2.57484e-07
2.05	-63.0029	-0.00105105	1.4702e-05	0.000140901	-2.57492e-07
2.075	-63.0028	-0.00105105	1.47022e-05	0.000140902	-2.575e-07
2.1	-63.0027	-0.00105106	1.47023e-05	0.000140903	-2.57508e-07
2.125	-63.0026	-0.00105106	1.47024e-05	0.000140904	-2.57516e-07
2.15	-63.0026	-0.00105107	1.47025e-05	0.000140905	-2.57524e-07
2.175	-63.0025	-0.00105107	1.47026e-05	0.000140907	-2.57532e-07
2.2	-63.0024	-0.00105108	1.47027e-05	0.000140908	-2.5754e-07
2.225	-63.0023	-0.00105108	1.47029e-05	0.000140909	-2.57548e-07
2.25	-63.0023	-0.00105108	1.4703e-05	0.00014091	-2.57556e-07
2.275	-63.0022	-0.00105109	1.47031e-05	0.000140911	-2.57564e-07
2.3	-63.0021	-0.00105109	1.47032e-05	0.000140912	-2.57572e-07
2.325	-63.002	-0.0010511	1.47033e-05	0.000140914	-2.57579e-07
2.35	-63.002	-0.0010511	1.47035e-05	0.000140915	-2.57587e-07
2.375	-63.0019	-0.00105111	1.47036e-05	0.000140916	-2.57595e-07
2.4	-63.0018	-0.00105111	1.47037e-05	0.000140917	-2.57603e-07
2.425	-63.0018	-0.00105112	1.47038e-05	0.000140918	-2.57611e-07
2.45	-63.0017	-0.00105112	1.47039e-05	0.000140919	-2.57618e-07
2.475	-63.0016	-0.00105113	1.47041e-05	0.00014092	-2.57626e-07
2.5	-63.0015	-0.00105113	1.47042e-05	0.000140922	-2.57634e-07
2.525	-63.0015	-0.00105114	1.47043e-05	0.000140923	-2.57641e-07
2.55	-63.0014	-0.00105114	1.47044e-05	0.000140924	-2.57649e-07
2.575	-63.0013	-0.00105115	1.47046e-05	0.000140925	-2.57657e-07
2.6	-63.0012	-0.00105115	1.47047e-05	0.000140926	-2.57665e-07
2.625	-63.0012	-0.00105115	1.47048e-05	0.000140927	-2.57672e-07
2.65	-63.0011	-0.00105116	1.47049e-05	0.000140928	-2.5768e-07
2.675	-63.001	-0.00105116	1.4705e-05	0.000140929	-2.57687e-07
2.7	-63.0009	-0.00105117	1.47052e-05	0.00014093	-2.57695e-07
2.725	-63.0009	-0.00105117	1.47053e-05	0.000140932	-2.57703e-07
2.75	-63.0008	-0.00105118	1.47054e-05	0.000140933	-2.5771e-07
2.775	-63.0007	-0.00105118	1.47055e-05	0.000140934	-2.57718e-07
2.8	-63.0007	-0.00105119	1.47057e-05	0.000140935	-2.57725e-07
2.825	-63.0006	-0.00105119	1.47058e-05	0.000140936	-2.57733e-07
2.85	-63.0005	-0.0010512	1.47059e-05	0.000140937	-2.57741e-07
2.875	-63.0004	-0.0010512	1.4706e-05	0.000140938	-2.57748e-07
2.9	-63.0004	-0.0010512	1.47062e-05	0.000140939	-2.57756e-07
2.925	-63.0003	-0.00105121	1.47063e-05	0.00014094	-2.57763e-07
2.95	-63.0002	-0.00105121	1.47064e-05	0.000140941	-2.57771e-07
2.975	-63.0002	-0.00105122	1.47065e-05	0.000140942	-2.57778e-07
3	-63.0001	-0.00105122	1.47067e-05	0.000140943	-2.57786e-07
3.025	-63	-0.00105123	1.47068e-05	0.000140945	-2.57793e-07
3.05	-63	-0.00105123	1.47069e-05	0.000140946	-2.578e-07
3.075	-62.9999	-0.00105124	1.4707e-05	0.000140947	-2.57808e-07
3.1	-62.9998	-0.00105124	1.47072e-05	0.000140948	-2.57815e-07
3.125	-62.9997	-0.00105124	1.47073e-05	0.000140949	-2.57823e-07
3.15	-62.9997	-0.00105125	1.47074e-05	0.00014095	-2.5783e-07
3.175	-62.9996	-0.00105125	1.47075e-05	0.000140951	-2.57837e-07
3.2	-62.9995	-0.00105126	1.47077e-05	0.000140952	-2.57845e-07
3.225	-62.9993	-0.00105126	1.47078e-05	0.000140953	-2.57854e-07
3.25	-62.9991	-0.00105126	1.4708e-05	0.000140955	-2.57864e-07
3.275	-62.9989	-0.00105126	1.47082e-05	0.000140957	-2.57877e-07
3.3	-62.9985	-0.00105126	1.47084e-05	0.00014096	-2.57894e-07
3.325	-62.998	-0.00105125	1.47087e-05	0.000140964	-2.57916e-07
3.35	-62.9974	-0.00105124	1.47091e-05	0.000140969	-2.57946e-07
3.375	-62.9966	-0.00105123	1.47095e-05	0.000140975	-2.57985e-07
3.4	-62.9957	-0.00105121	1.47101e-05	0.000140983	-2.58034e-07
3.425	-62.9947	-0.00105119	1.47107e-05	0.000140993	-2.58094e-07
3.45	-62.9935	-0.00105116	1.47114e-05	0.000141005	-2.58167e-07
3.475	-62.9921	-0.00105113	1.47122e-05	0.000141019	-2.58254e-07
3.5	-62.9906	-0.00105109	1.47131e-05	0.000141035	-2.58355e-07
3.525	-62.9889	-0.00105105	1.47141e-05	0.000141053	-2.58471e-07
3.55	-62.987	-0.001051	1.47152e-05	0.000141074	-2.58604e-07
3.575	-62.985	-0.00105095	1.47165e-05	0.000141098	-2.58752e-07
3.6	-62.9828	-0.00105089	1.47178e-05	0.000141124	-2.58918e-07
3.625	-62.9804	-0.00105082	1.47193e-05	0.000141152	-2.591e-07
3.65	-62.9779	-0.00105075	1.47208e-05	0.000141184	-2.59298e-07
3.675	-62.9753	-0.00105067	1.47225e-05	0.000141218	-2.59514e-07
3.7	-62.9725	-0.00105059	1.47243e-05	0.000141254	-2.59746e-07
3.725	-62.9695	-0.00105051	1.47262e-05	0.000141293	-2.59994e-07
3.75	-62.9664	-0.00105042	1.47282e-05	0.000141335	-2.60259e-07
3.775	-62.9632	-0.00105032	1.47303e-05	0.000141379	-2.60539e-07
3.8	-62.9599	-0.00105022	1.47325e-05	0.000141426	-2.60835e-07
3.825	-62.9564	-0.00105011	1.47348e-05	0.000141476	-2.61147e-07
3.85	-62.9527	-0.00105	1.47372e-05	0.000141528	-2.61475e-07
3.875	-62.9489	-0.00104989	1.47398e-05	0.000141583	-2.61818e-07
3.9	-62.945	-0.00104977	1.47425e-05	0.00014164	-2.62177e-07
3.925	-62.9409	-0.00104964	1.47453e-05	0.000141699	-2.62552e-07
3.95	-62.9367	-0.00104951	1.47481e-05	0.000141762	-2.62942e-07
3.975	-62.9324	-0.00104938	1.47512e-05	0.000141826	-2.63347e-07
4	-62.928	-0.00104924	1.47543e-05	0.000141893	-2.63768e-07
4.025	-62.9234	-0.00104909	1.47575e-05	0.000141963	-2.64203e-07
4.05	-62.9187	-0.00104895	1.47609e-05	0.000142035	-2.64653e-07
4.075	-62.9139	-0.00104879	1.47643e-05	0.000142109	-2.65118e-07
4.1	-62.909	-0.00104864	1.47679e-05	0.000142185	-2.65597e-07
4.125	-62.904	-0.00104848	1.47716e-05	0.000142264	-2.66089e-07
4.15	-62.8989	-0.00104831	1.47754e-05	0.000142344	-2.66595e-07
4.175	-62.8937	-0.00104814	1.47793e-05	0.000142427	-2.67114e-07
4.2	-62.8884	-0.00104797	1.47832e-05	0.000142511	-2.67645e-07
4.225	-62.883	-0.0010478	1.47873e-05	0.000142597	-2.68189e-07
4.25	-62.8775	-0.00104762	1.47915e-05	0.000142685	-2.68744e-07
4.275	-62.872	-0.00104744	1.47958e-05	0.000142775	-2.69311e-07
4.3	-62.8664	-0.00104725	1.48002e-05	0.000142867	-2.69889e-07
4.325	-62.8607	-0.00104706	1.48047e-05	0.00014296	-2.70478e-07
4.35	-62.8549	-0.00104687	1.48092e-05	0.000143054	-2.71077e-07
4.375	-62.8491	-0.00104668	1.48139e-05	0.00014315	-2.71686e-07
4.4	-62.8432	-0.00104648	1.48187e-05	0.000143248	-2.72306e-07
4.425	-62.8372	-0.00104628	1.48235e-05	0.000143347	-2.72934e-07
4.45	-62.8312	-0.00104608	1.48285e-05	0.000143447	-2.73572e-07
4.475	-62.8252	-0.00104587	1.48335e-05	0.000143548	-2.7422e-07
4.5	-62.819	-0.00104566	1.48386e-05	0.00014365	-2.74876e-07
4.525	-62.8128	-0.00104545	1.48438e-05	0.000143754	-2.7554e-07
4.55	-62.8065	-0.00104524	1.48492e-05	0.000143859	-2.76215e-07
4.575	-62.8001	-0.00104502	1.48546e-05	0.000143966	-2.76899e-07
4.6	-62.7936	-0.0010448	1.48601e-05	0.000144073	-2.77593e-07
4.625	-62.7871	-0.00104458	1.48657e-05	0.000144182	-2.78298e-07
4.65	-62.7804	-0.00104435	1.48715e-05	0.000144293	-2.79014e-07
4.675	-62.7736	-0.00104412	1.48773e-05	0.000144405	-2.79742e-07
4.7	-62.7667	-0.00104388	1.48833e-05	0.000144519	-2.80483e-07
4.725	-62.7597	-0.00104364	1.48894e-05	0.000144634	-2.81236e-07
4.75	-62.7526	-0.0010434	1.48957e-05	0.000144751	-2.82002e-07
4.775	-62.7454	-0.00104315	1.4902e-05	0.00014487	-2.82782e-07
4.8	-62.7381	-0.0010429	1.49085e-05	0.00014499	-2.83576e-07
4.825	-62.7305	-0.00104264	1.49151e-05	0.000145113	-2.84386e-07
4.85	-62.7228	-0.00104237	1.49219e-05	0.000145238	-2.85214e-07
4.875	-62.7148	-0.0010421	1.49289e-05	0.000145366	-2.86061e-07
4.9	-62.7067	-0.00104182	1.49361e-05	0.000145496	-2.8693e-07
4.925	-62.6983	-0.00104153	1.49434e-05	0.000145629	-2.87822e-07
4.95	-62.6897	-0.00104124	1.4951e-05	0.000145766	-2.88738e-07
4.975	-62.6809	-0.00104093	1.49587e-05	0.000145905	-2.8968e-07
5	-62.6719	-0.00104062	1.49667e-05	0.000146048	-2.90647e-07
5.025	-62.6627	-0.0010403	1.49748e-05	0.000146195	-2.91641e-07
5.05	-62.6534	-0.00103998	1.49831e-05	0.000146344	-2.92662e-07
5.075	-62.6438	-0.00103965	1.49917e-05	0.000146498	-2.93711e-07
5.1	-62.634	-0.00103931	1.50004e-05	0.000146654	-2.94787e-07
5.125	-62.624	-0.00103896	1.50093e-05	0.000146814	-2.95891e-07
5.15	-62.6138	-0.0010386	1.50184e-05	0.000146978	-2.97023e-07
5.175	-62.6035	-0.00103824	1.50278e-05	0.000147145	-2.98183e-07
5.2	-62.5929	-0.00103787	1.50373e-05	0.000147315	-2.99371e-07
5.225	-62.5822	-0.0010375	1.5047e-05	0.000147489	-3.00586e-07
5.25	-62.5713	-0.00103711	1.50569e-05	0.000147666	-3.0183e-07
5.275	-62.5603	-0.00103672	1.5067e-05	0.000147847	-3.031e-07
5.3	-62.5491	-0.00103633	1.50773e-05	0.00014803	-3.04398e-07
5.325	-62.5378	-0.00103593	1.50878e-05	0.000148217	-3.05722e-07
5.35	-62.5263	-0.00103552	1.50985e-05	0.000148407	-3.07072e-07
5.375	-62.5147	-0.00103511	1.51093e-05	0.000148599	-3.08448e-07
