source	target	synapse
322	91393	6
322	91393	6
322	91393	7
322	91393	10
322	91393	9
322	91393	0
319	91393	7
319	91393	3
319	91393	1
319	91393	7
319	91393	5
319	91393	5
284	91393	6
284	91393	1
284	91393	1
284	91393	3
284	91393	11
284	91393	7
358	91393	5
358	91393	6
358	91393	10
358	91393	6
358	91393	9
358	91393	11
300	91393	5
300	91393	1
300	91393	5
300	91393	11
300	91393	2
300	91393	6
237	91393	5
237	91393	9
237	91393	9
237	91393	8
237	91393	9
237	91393	3
1883	91393	290
1883	91393	231
1883	91393	213
1883	91393	214
1883	91393	169
1883	91393	103
1883	91393	233
1883	91393	200
1883	91393	197
1883	91393	94
1903	91393	200
1903	91393	331
1903	91393	88
1903	91393	29
1903	91393	257
1903	91393	93
1903	91393	207
1903	91393	42
1903	91393	289
1903	91393	163
2038	91393	210
2038	91393	253
2038	91393	149
2038	91393	105
2038	91393	153
2038	91393	80
2038	91393	170
2038	91393	308
2038	91393	159
2038	91393	280
1862	91393	364
1862	91393	88
1862	91393	110
1862	91393	47
1862	91393	192
1862	91393	295
1862	91393	365
1862	91393	51
1862	91393	57
1862	91393	201
1905	91393	98
1905	91393	197
1905	91393	73
1905	91393	199
1905	91393	361
1905	91393	200
1905	91393	256
1905	91393	274
1905	91393	135
1905	91393	183
1927	91393	145
1927	91393	358
1927	91393	91
1927	91393	45
1927	91393	336
1927	91393	203
1927	91393	15
1927	91393	86
1927	91393	149
1927	91393	346
1906	91393	39
1906	91393	64
1906	91393	349
1906	91393	237
1906	91393	337
1906	91393	206
1906	91393	264
1906	91393	255
1906	91393	154
1906	91393	334
2060	91393	93
2060	91393	153
2060	91393	132
2060	91393	242
2060	91393	278
2060	91393	304
2060	91393	29
2060	91393	151
2060	91393	264
2060	91393	376
1952	91393	208
1952	91393	258
1952	91393	267
1952	91393	63
1952	91393	341
1952	91393	135
1952	91393	79
1952	91393	17
1952	91393	278
1952	91393	246
2150	91393	217
2150	91393	223
2150	91393	233
2150	91393	181
2150	91393	27
2150	91393	49
2150	91393	180
2150	91393	69
2150	91393	186
2150	91393	313
4458	91393	461
4458	91393	474
4458	91393	461
4458	91393	406
4458	91393	439
4458	91393	421
4458	91393	451
4458	91393	480
4352	91393	392
4352	91393	469
4352	91393	424
4352	91393	445
4352	91393	419
4352	91393	428
4352	91393	455
4352	91393	424
4639	91393	457
4639	91393	472
4639	91393	480
4639	91393	444
4639	91393	484
4639	91393	394
4639	91393	461
4639	91393	449
4325	91393	437
4325	91393	486
4325	91393	458
4325	91393	484
4325	91393	424
4325	91393	478
4325	91393	406
4325	91393	410
4402	91393	393
4402	91393	478
4402	91393	444
4402	91393	426
4402	91393	464
4402	91393	435
4402	91393	437
4402	91393	469
4530	91393	472
4530	91393	444
4530	91393	455
4530	91393	401
4530	91393	430
4530	91393	405
4530	91393	421
4530	91393	481
4503	91393	472
4503	91393	413
4503	91393	457
4503	91393	434
4503	91393	456
4503	91393	440
4503	91393	436
4503	91393	393
4403	91393	468
4403	91393	488
4403	91393	438
4403	91393	440
4403	91393	447
4403	91393	483
4403	91393	431
4403	91393	487
4478	91393	475
4478	91393	438
4478	91393	488
4478	91393	471
4478	91393	437
4478	91393	448
4478	91393	423
4478	91393	415
4405	91393	457
4405	91393	487
4405	91393	410
4405	91393	404
4405	91393	442
4405	91393	455
4405	91393	389
4405	91393	461
4452	91393	480
4452	91393	399
4452	91393	480
4452	91393	464
4452	91393	447
4452	91393	423
4452	91393	418
4452	91393	471
4818	91393	463
4818	91393	488
4818	91393	473
4818	91393	466
4818	91393	484
4818	91393	486
4818	91393	438
4818	91393	419
4372	91393	469
4372	91393	389
4372	91393	464
4372	91393	461
4372	91393	434
4372	91393	466
4372	91393	409
4372	91393	415
8954	91393	637
8954	91393	526
8954	91393	652
8954	91393	768
8954	91393	497
8954	91393	514
8954	91393	607
8954	91393	505
8954	91393	785
8954	91393	648
9019	91393	578
9019	91393	659
9019	91393	650
9019	91393	683
9019	91393	680
9019	91393	679
9019	91393	594
9019	91393	532
9019	91393	788
9019	91393	818
9060	91393	805
9060	91393	540
9060	91393	560
9060	91393	837
9060	91393	595
9060	91393	498
9060	91393	552
9060	91393	849
9060	91393	530
9060	91393	695
9548	91393	719
9548	91393	576
9548	91393	697
9548	91393	601
9548	91393	694
9548	91393	594
9548	91393	824
9548	91393	506
9548	91393	777
9548	91393	621
9301	91393	667
9301	91393	567
9301	91393	712
9301	91393	558
9301	91393	792
9301	91393	862
9301	91393	850
9301	91393	557
9301	91393	814
9301	91393	616
9444	91393	537
9444	91393	650
9444	91393	568
9444	91393	663
9444	91393	649
9444	91393	819
9444	91393	589
9444	91393	838
9444	91393	833
9444	91393	553
9091	91393	700
9091	91393	865
9091	91393	602
9091	91393	641
9091	91393	626
9091	91393	741
9091	91393	779
9091	91393	564
9091	91393	576
9091	91393	708
8951	91393	516
8951	91393	544
8951	91393	732
8951	91393	803
8951	91393	725
8951	91393	552
8951	91393	848
8951	91393	491
8951	91393	672
8951	91393	545
9166	91393	620
